player_name,team,season,round,date,opponent,roll3_mean,roll5_mean,roll10_mean,roll5_std,roll10_std,lag1,games_history,tog_roll5_mean,cp_roll5_mean,up_roll5_mean,cl_roll5_mean,i50_roll5_mean,mg_roll5_mean,rest_days,opp_allow_disposals,opp_allow_kicks,opp_allow_handballs,opp_allow_cp,opp_allow_up,opp_allow_clearances,opp_allow_i50,opp_allow_mg,target_disposals
Finn Callaghan,GWS,2024,R5,2024-04-13,Saints,20.333333333333332,20.333333333333332,20.333333333333332,4.041451884327381,4.041451884327381,21.0,3.0,77.66666666666667,6.0,14.0,2.0,3.6666666666666665,353.3333333333333,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
Finn Callaghan,GWS,2024,R6,2024-04-20,Blues,18.333333333333332,19.75,19.75,3.5,3.5,18.0,4.0,78.75,6.0,13.5,2.25,3.75,320.25,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
Finn Callaghan,GWS,2024,R7,2024-04-25,Lions,20.666666666666668,20.4,20.4,3.361547262794322,3.361547262794322,23.0,5.0,79.8,6.6,13.6,2.4,3.2,307.8,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0
Finn Callaghan,GWS,2024,R8,2024-05-04,Swans,24.333333333333332,22.0,22.333333333333332,6.2048368229954285,5.609515724790035,32.0,6.0,81.0,6.4,15.0,2.8,3.2,334.6,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
Finn Callaghan,GWS,2024,R9,2024-05-11,Bombers,26.0,23.4,22.428571428571427,5.224940191045253,5.126959555693246,23.0,7.0,83.4,8.4,14.4,3.2,3.2,327.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
Finn Callaghan,GWS,2024,R10,2024-05-18,Bulldogs,22.666666666666668,21.8,21.25,7.049822692805827,5.800246300189083,13.0,8.0,83.2,8.4,13.4,3.0,3.2,308.4,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
Finn Callaghan,GWS,2024,R11,2024-05-25,Cats,17.666666666666668,21.6,20.77777777777778,7.197221686178632,5.6075346137535735,17.0,9.0,83.0,7.8,14.0,2.8,2.6,330.2,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
Finn Callaghan,GWS,2024,R13,2024-06-08,Hawks,18.333333333333332,22.0,21.2,7.3484692283495345,5.4528280124476085,25.0,10.0,83.2,8.2,14.0,3.4,2.8,333.2,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0
Finn Callaghan,GWS,2024,R14,2024-06-16,Power,23.333333333333332,21.2,21.6,6.099180272790763,5.815687596683837,28.0,11.0,82.2,10.6,11.4,4.0,2.2,255.2,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0
Finn Callaghan,GWS,2024,R15,2024-06-22,Swans,25.0,21.0,22.2,6.041522986797286,5.473166867139678,22.0,12.0,80.2,9.6,12.2,4.2,2.8,257.8,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0
Finn Callaghan,GWS,2024,R16,2024-06-29,Crows,25.666666666666668,23.8,22.8,4.43846820423443,5.652924513520021,27.0,13.0,80.0,10.0,14.2,4.6,3.8,337.2,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
Finn Callaghan,GWS,2024,R17,2024-07-06,Blues,24.0,25.0,23.3,2.5495097567963922,5.396500923952689,23.0,14.0,79.8,10.6,14.6,5.2,5.2,357.6,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
Finn Callaghan,GWS,2024,R18,2024-07-14,Tigers,24.666666666666668,24.8,23.4,2.588435821108957,5.399588461684423,24.0,15.0,79.4,10.0,15.0,5.2,6.2,392.8,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
Finn Callaghan,GWS,2024,R19,2024-07-20,Suns,22.666666666666668,23.4,22.3,2.3021728866442674,4.498147766951785,21.0,16.0,79.6,7.6,15.8,5.0,6.0,414.2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
Finn Callaghan,GWS,2024,R20,2024-07-27,Demons,22.0,23.2,22.1,2.4899799195977463,4.508017549014447,21.0,17.0,81.6,7.6,15.6,4.8,5.6,413.4,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
Finn Callaghan,GWS,2024,R21,2024-08-04,Hawks,26.0,25.0,24.4,6.284902544988268,5.168279318217149,36.0,18.0,83.0,8.0,17.0,4.6,4.8,370.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
Finn Callaghan,GWS,2024,R22,2024-08-10,Lions,24.666666666666668,23.8,24.4,7.259476565152614,5.168279318217149,17.0,19.0,84.4,7.8,15.8,4.2,3.8,330.6,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
Finn Callaghan,GWS,2024,R23,2024-08-17,Dockers,25.666666666666668,23.8,24.3,7.259476565152614,5.1650535116083525,24.0,20.0,83.6,7.6,16.0,3.6,3.0,339.4,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
Finn Callaghan,GWS,2024,R24,2024-08-25,Bulldogs,22.0,24.6,24.0,7.092249290598858,5.011098792790969,25.0,21.0,83.2,7.8,16.6,3.0,3.4,324.6,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0
Finn Callaghan,GWS,2024,QF,2024-09-07,Swans,25.0,25.6,24.4,6.8044103344816,4.993328882953068,26.0,22.0,83.4,8.2,17.2,3.4,3.8,360.8,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
Finn Callaghan,GWS,2024,SF,2024-09-14,Lions,25.333333333333332,23.4,24.2,3.6469165057620936,4.917090377222873,25.0,23.0,82.2,6.6,16.6,2.6,4.2,373.4,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
Will Ashcroft,Brisbane,2025,R4,2025-04-05,Tigers,26.0,26.0,26.0,6.244997998398398,6.244997998398398,33.0,3.0,83.66666666666667,11.666666666666666,15.666666666666666,6.333333333333333,2.6666666666666665,242.33333333333334,7.0,390.1,224.3,165.8,129.0,254.0,37.8,55.7,6079.2,24.0
Will Ashcroft,Brisbane,2025,R5,2025-04-12,Bulldogs,27.0,25.5,25.5,5.196152422706632,5.196152422706632,24.0,4.0,81.75,10.75,16.0,6.0,3.25,299.75,7.0,351.6,204.4,147.1,129.8,212.9,35.3,47.6,5662.2,31.0
