[2026-02-07 00:00:02] [INFO] ========================================
[2026-02-07 00:00:02] [INFO] Daily Player Cache Refresh
[2026-02-07 00:00:02] [INFO] ========================================
[2026-02-07 00:00:02] [INFO] 
[2026-02-07 00:00:04] [INFO] Dev server is not running. Starting it...
[2026-02-07 00:00:04] [INFO] Starting dev server...
[2026-02-07 00:00:04] [INFO] Dev server starting (PID: 18660)...
[2026-02-07 00:00:12] [INFO] Waiting for server to start... (5/300 seconds)
[2026-02-07 00:00:19] [INFO] Waiting for server to start... (10/300 seconds)
[2026-02-07 00:00:26] [INFO] Waiting for server to start... (15/300 seconds)
[2026-02-07 00:00:33] [INFO] Waiting for server to start... (20/300 seconds)
[2026-02-07 00:00:40] [INFO] Waiting for server to start... (25/300 seconds)
[2026-02-07 00:00:47] [INFO] Waiting for server to start... (30/300 seconds)
[2026-02-07 00:00:54] [INFO] Waiting for server to start... (35/300 seconds)
[2026-02-07 00:01:01] [INFO] Waiting for server to start... (40/300 seconds)
[2026-02-07 00:01:08] [INFO] Waiting for server to start... (45/300 seconds)
[2026-02-07 00:01:15] [INFO] Waiting for server to start... (50/300 seconds)
[2026-02-07 00:01:22] [INFO] Waiting for server to start... (55/300 seconds)
[2026-02-07 00:01:29] [INFO] Waiting for server to start... (60/300 seconds)
[2026-02-07 00:01:36] [INFO] Waiting for server to start... (65/300 seconds)
[2026-02-07 00:01:43] [INFO] Waiting for server to start... (70/300 seconds)
[2026-02-07 00:01:50] [INFO] Waiting for server to start... (75/300 seconds)
[2026-02-07 00:01:57] [INFO] Waiting for server to start... (80/300 seconds)
[2026-02-07 00:02:04] [INFO] Waiting for server to start... (85/300 seconds)
[2026-02-07 00:02:12] [INFO] Waiting for server to start... (90/300 seconds)
[2026-02-07 00:02:19] [INFO] Waiting for server to start... (95/300 seconds)
[2026-02-07 00:02:26] [INFO] Waiting for server to start... (100/300 seconds)
[2026-02-07 00:02:33] [INFO] Waiting for server to start... (105/300 seconds)
[2026-02-07 00:02:40] [INFO] Waiting for server to start... (110/300 seconds)
[2026-02-07 00:02:47] [INFO] Waiting for server to start... (115/300 seconds)
[2026-02-07 00:02:54] [INFO] Waiting for server to start... (120/300 seconds)
[2026-02-07 00:03:01] [INFO] Waiting for server to start... (125/300 seconds)
[2026-02-07 00:03:08] [INFO] Waiting for server to start... (130/300 seconds)
[2026-02-07 00:03:15] [INFO] Waiting for server to start... (135/300 seconds)
[2026-02-07 00:03:22] [INFO] Waiting for server to start... (140/300 seconds)
[2026-02-07 00:03:29] [INFO] Waiting for server to start... (145/300 seconds)
[2026-02-07 00:03:36] [INFO] Waiting for server to start... (150/300 seconds)
[2026-02-07 00:03:43] [INFO] Waiting for server to start... (155/300 seconds)
[2026-02-07 00:03:50] [INFO] Waiting for server to start... (160/300 seconds)
[2026-02-07 00:03:57] [INFO] Waiting for server to start... (165/300 seconds)
[2026-02-07 00:04:04] [INFO] Waiting for server to start... (170/300 seconds)
[2026-02-07 00:04:12] [INFO] Waiting for server to start... (175/300 seconds)
[2026-02-07 00:04:19] [INFO] Waiting for server to start... (180/300 seconds)
[2026-02-07 00:04:26] [INFO] Waiting for server to start... (185/300 seconds)
[2026-02-07 00:04:33] [INFO] Waiting for server to start... (190/300 seconds)
[2026-02-07 00:04:40] [INFO] Waiting for server to start... (195/300 seconds)
[2026-02-07 00:04:47] [INFO] Waiting for server to start... (200/300 seconds)
[2026-02-07 00:04:54] [INFO] Waiting for server to start... (205/300 seconds)
[2026-02-07 00:05:01] [INFO] Waiting for server to start... (210/300 seconds)
[2026-02-07 00:05:08] [INFO] Waiting for server to start... (215/300 seconds)
[2026-02-07 00:05:15] [INFO] Waiting for server to start... (220/300 seconds)
[2026-02-07 00:05:22] [INFO] Waiting for server to start... (225/300 seconds)
[2026-02-07 00:05:29] [INFO] Waiting for server to start... (230/300 seconds)
[2026-02-07 00:05:36] [INFO] Waiting for server to start... (235/300 seconds)
[2026-02-07 00:05:43] [INFO] Waiting for server to start... (240/300 seconds)
[2026-02-07 00:05:50] [INFO] Waiting for server to start... (245/300 seconds)
[2026-02-07 00:05:57] [INFO] Waiting for server to start... (250/300 seconds)
[2026-02-07 00:06:04] [INFO] Waiting for server to start... (255/300 seconds)
[2026-02-07 00:06:11] [INFO] Waiting for server to start... (260/300 seconds)
[2026-02-07 00:06:19] [INFO] Waiting for server to start... (265/300 seconds)
[2026-02-07 00:06:26] [INFO] Waiting for server to start... (270/300 seconds)
[2026-02-07 00:06:33] [INFO] Waiting for server to start... (275/300 seconds)
[2026-02-07 00:06:40] [INFO] Waiting for server to start... (280/300 seconds)
[2026-02-07 00:06:47] [INFO] Waiting for server to start... (285/300 seconds)
[2026-02-07 00:06:54] [INFO] Waiting for server to start... (290/300 seconds)
[2026-02-07 00:07:01] [INFO] Waiting for server to start... (295/300 seconds)
[2026-02-07 00:07:08] [INFO] Waiting for server to start... (300/300 seconds)
[2026-02-07 00:07:12] [ERROR] Server failed to start within 300 seconds
